industry_group,skill_name,skill_group,skill_count
"Advertising and Marketing",Fundraising,Other,2
"Government and Public Services",Fundraising,Other,1
"Travel and Tourism",Fundraising,Other,1
"Advertising and Marketing",Gatekeeper,Other,1
"Human Resources and Staffing",Gatekeeper,Other,1
"Financial Services","General Administration",Technology,1
"Health and Medical","General Public",Communication,1
"Architecture and Design",Glazing,Other,1
"Human Resources and Staffing","Go-to-Market Strategy","Market Research",2
Manufacturing,"Go-to-Market Strategy","Market Research",1
"Advertising and Marketing","Goal Setting",Strategy/Planning/Management,1
"Advertising and Marketing","Google Ads",Other,1
"Construction and Real Estate","Google Ads",Other,1
"Entertainment and Recreation","Google Ads",Other,1
"Human Resources and Staffing","Google Ads",Other,1
Others,"Google Ads",Other,1
"Advertising and Marketing","Google Analytics",Quantitative/Analytics,1
"Human Resources and Staffing","Google Analytics",Quantitative/Analytics,2
Others,"Google Analytics",Quantitative/Analytics,1
"Retail and Wholesale","Google Docs",Other,1
"Retail and Wholesale","Google Sheets",Other,1
"Human Resources and Staffing","Google Workspace",Other,1
"Retail and Wholesale","Google Workspace",Other,1
"Government and Public Services","Government Ethics",Other,1
"Architecture and Design",Grammar,Content/Writing,1
"Non-profit and Social Services",Grammar,Content/Writing,1
"Retail and Wholesale",Grammar,Content/Writing,1
"Technology and Telecommunications",Grammar,Content/Writing,1
"Business and Information Technology","Graphic Design","Graphic Design/Visual",2
"Construction and Real Estate","Graphic Design","Graphic Design/Visual",2
"Education and Training","Graphic Design","Graphic Design/Visual",1
"Entertainment and Recreation","Graphic Design","Graphic Design/Visual",1
"Food and Beverage","Graphic Design","Graphic Design/Visual",1
"Health and Medical","Graphic Design","Graphic Design/Visual",1
"Human Resources and Staffing","Graphic Design","Graphic Design/Visual",3
"Travel and Tourism","Graphic Design","Graphic Design/Visual",1
"Business and Information Technology","Graphic Design Principles","Graphic Design/Visual",1
"Business and Information Technology","Graphic Design Software","Graphic Design/Visual",1
"Health and Medical","Graphic Design Software","Graphic Design/Visual",1
"Business and Information Technology",Graphics,"Graphic Design/Visual",1
"Construction and Real Estate",Graphics,"Graphic Design/Visual",2
"Entertainment and Recreation",Graphics,"Graphic Design/Visual",1
"Human Resources and Staffing",Graphics,"Graphic Design/Visual",1
"Retail and Wholesale","Grassroots Marketing",Strategy/Planning/Management,2
"Retail and Wholesale","Grassroots Organizing",Strategy/Planning/Management,2
"Retail and Wholesale","Grief Counseling",Communication,1
"Environmental and Energy","Growth Strategies",Strategy/Planning/Management,5
"Retail and Wholesale","Guest Experience",Other,1
"Human Resources and Staffing","Handle Multiple Projects",Other,1
"Human Resources and Staffing","Hands-on Training",Other,1
"Education and Training","Health Assessment",Other,1
"Non-profit and Social Services","Healthy Lifestyle",Other,1
"Advertising and Marketing","Heavy Equipment",Other,1
"Entertainment and Recreation","High Energy Level",Other,1
"Health and Medical",HMO,Other,1
"Advertising and Marketing","Hospitality Industry",Other,1
"Construction and Real Estate","Hotel Management",Strategy/Planning/Management,1
"Construction and Real Estate",Hotjar,Other,1
"Travel and Tourism",Household,Other,1
"Construction and Real Estate","HR Policies",Other,1
"Health and Medical","HR Policies",Other,1
"Business and Information Technology",HTML,Technology,1
"Facilities and Maintenance",HTML,Technology,1
"Human Resources and Staffing",HTML,Technology,1
"Facilities and Maintenance","HTML Emails",Quantitative/Analytics,1
"Human Resources and Staffing",HubSpot,Other,1
"Retail and Wholesale",HubSpot,Other,1
"Construction and Real Estate","Human Resources (HR)",Other,2
"Health and Medical","Human Resources (HR)",Other,1
"Human Resources and Staffing","Human Resources (HR)",Other,2
"Health and Medical","Human Rights Law",Other,2
"Non-profit and Social Services","IBM iSeries",Other,1
"Health and Medical","IBM SPSS",Other,2
"Human Resources and Staffing","Influencer Marketing",Strategy/Planning/Management,1
"Construction and Real Estate","Information Design","Graphic Design/Visual",1
"Architecture and Design","Information Gathering",Other,1
"Travel and Tourism","Information Research","Market Research",1
"Human Resources and Staffing","Information Technology",Other,1
"Construction and Real Estate",Initiation,Strategy/Planning/Management,1
"Environmental and Energy",Initiation,Strategy/Planning/Management,1
Manufacturing,"Inside Sales",Sales,1
"Health and Medical",Inspiration,Other,1
"Health and Medical","Institutional Review Board (IRB)",Other,2
"Health and Medical","Integrated Marketing",Strategy/Planning/Management,1
"Human Resources and Staffing","Integrated Marketing",Strategy/Planning/Management,1
"Advertising and Marketing","Interactive Advertising",Other,1
"Education and Training","Intercollegiate Athletics",Other,1
"Retail and Wholesale","Intercultural Awareness",Other,1
"Retail and Wholesale","Intercultural Skills",Communication,1
"Education and Training","Internal and External Communications",Communication,1
"Advertising and Marketing","Internal Communications",Communication,3
"Automotive and Transportation","Internal Communications",Communication,1
"Government and Public Services","Internal Communications",Communication,1
"Health and Medical","Internal Communications",Communication,2
Others,"Internal Communications",Communication,1
"Construction and Real Estate","Internal Customers",Other,1
"Travel and Tourism","International Travel",Other,1
"Non-profit and Social Services","Internet Access",Other,1
"Advertising and Marketing","Interpersonal Communication",Communication,2
"Health and Medical","Interpersonal Communication",Communication,6
"Human Resources and Staffing","Interpersonal Communication",Communication,2
Manufacturing,"Interpersonal Communication",Communication,1
"Health and Medical","Interpersonal Relationships",Communication,1
"Advertising and Marketing","Interpersonal Skills",Communication,16
"Architecture and Design","Interpersonal Skills",Communication,1
"Business and Information Technology","Interpersonal Skills",Communication,2
"Construction and Real Estate","Interpersonal Skills",Communication,2
"Education and Training","Interpersonal Skills",Communication,1
"Financial Services","Interpersonal Skills",Communication,1
"Health and Medical","Interpersonal Skills",Communication,3
"Human Resources and Staffing","Interpersonal Skills",Communication,2
Manufacturing,"Interpersonal Skills",Communication,2
Others,"Interpersonal Skills",Communication,1
"Retail and Wholesale","Interpersonal Skills",Communication,1
"Technology and Telecommunications","Interpersonal Skills",Communication,3
"Travel and Tourism","Interpersonal Skills",Communication,2
"Human Resources and Staffing",Interviewing,Communication,2
"Food and Beverage","Inventory Management",Strategy/Planning/Management,1
"Technology and Telecommunications",Investigation,Other,1
"Business and Information Technology",Itineraries,Other,1
"Travel and Tourism",Itineraries,Other,1
"Government and Public Services","Job Satisfaction",Other,1
"Construction and Real Estate","Job Skills",Communication,1
"Business and Information Technology",Journalism,Content/Writing,1
"Health and Medical",Journalism,Content/Writing,2
"Non-profit and Social Services",Journalism,Content/Writing,1
Others,Journalism,Content/Writing,2
"Advertising and Marketing","Key Accounts",Other,1
"Health and Medical","Key Metrics",Strategy/Planning/Management,1
"Non-profit and Social Services","Key Metrics",Strategy/Planning/Management,1
"Advertising and Marketing","Key Performance Indicators",Strategy/Planning/Management,1
"Construction and Real Estate","Key Performance Indicators",Strategy/Planning/Management,1
"Facilities and Maintenance","Key Performance Indicators",Strategy/Planning/Management,1
"Health and Medical","Key Performance Indicators",Strategy/Planning/Management,1
"Human Resources and Staffing","Key Performance Indicators",Strategy/Planning/Management,3
"Non-profit and Social Services","Key Performance Indicators",Strategy/Planning/Management,1
"Human Resources and Staffing","Keyword Research","Market Research",1
Manufacturing,Klaviyo,"Social Media/Digital",1
"Education and Training","Knowledge Acquisition",Other,1
Others,"Knowledge Acquisition",Other,1
"Advertising and Marketing","Landing Pages",Other,1
"Automotive and Transportation","Landing Pages",Other,1
"Travel and Tourism","Landing Pages",Other,1
"Health and Medical",Laserfiche,Other,1
"Advertising and Marketing",Launches,Brand,1
"Travel and Tourism",Laundry,Other,1
"Advertising and Marketing","Lead Generation",Sales,1
"Environmental and Energy","Lead Generation",Sales,5
"Facilities and Maintenance","Lead Generation",Sales,1
"Health and Medical","Lead Generation",Sales,1
"Human Resources and Staffing","Lead Generation",Sales,1
Others,"Lead Generation",Sales,2
"Advertising and Marketing","Lead Qualification",Sales,1
"Environmental and Energy","Lead Qualification",Sales,1
"Health and Medical","Lead Qualification",Sales,1
Others,"Lead Qualification",Sales,1
"Advertising and Marketing",Leadership,Strategy/Planning/Management,10
"Architecture and Design",Leadership,Strategy/Planning/Management,1
"Health and Medical",Leadership,Strategy/Planning/Management,6
"Human Resources and Staffing",Leadership,Strategy/Planning/Management,2
Others,Leadership,Strategy/Planning/Management,1
"Technology and Telecommunications",Leadership,Strategy/Planning/Management,1
Others,Liability,Other,1
"Travel and Tourism",Liability,Other,1
Others,"Liability Insurance",Other,1
"Health and Medical","Liberal Arts",Other,1
"Advertising and Marketing",Lists,Other,2
"Business and Information Technology",Lists,Other,1
"Health and Medical","Literature Reviews",Other,2
"Advertising and Marketing","Live Events",Strategy/Planning/Management,2
"Travel and Tourism","Live Events",Strategy/Planning/Management,1
"Non-profit and Social Services","Loan Workouts",Other,1
"Food and Beverage","Local Marketing",Other,1
"Human Resources and Staffing","Logo Design","Graphic Design/Visual",1
"Health and Medical","Long-term Care",Other,1
"Business and Information Technology","Magazine Articles",Other,1
"Advertising and Marketing","Mailing Lists",Other,1
"Health and Medical","Managed Care",Other,2
"Advertising and Marketing",Management,Strategy/Planning/Management,22
"Architecture and Design",Management,Strategy/Planning/Management,1
"Business and Information Technology",Management,Strategy/Planning/Management,4
"Construction and Real Estate",Management,Strategy/Planning/Management,6
"Education and Training",Management,Strategy/Planning/Management,3
"Entertainment and Recreation",Management,Strategy/Planning/Management,1
"Financial Services",Management,Strategy/Planning/Management,1
"Food and Beverage",Management,Strategy/Planning/Management,3
"Health and Medical",Management,Strategy/Planning/Management,6
"Human Resources and Staffing",Management,Strategy/Planning/Management,22
Manufacturing,Management,Strategy/Planning/Management,2
"Non-profit and Social Services",Management,Strategy/Planning/Management,1
Others,Management,Strategy/Planning/Management,2
"Retail and Wholesale",Management,Strategy/Planning/Management,2
"Technology and Telecommunications",Management,Strategy/Planning/Management,3
"Travel and Tourism",Management,Strategy/Planning/Management,2
"Human Resources and Staffing","Managing Accounts (Accounting)",Other,1
"Business and Information Technology","Managing Meetings",Other,1
"Advertising and Marketing",Manners,Other,1
"Retail and Wholesale","Manual Handling",Sales,1
"Retail and Wholesale","Manufacturing Processes",Other,1
"Advertising and Marketing","Market Analysis","Market Research",3
"Food and Beverage","Market Analysis","Market Research",1
Manufacturing,"Market Analysis","Market Research",1
"Advertising and Marketing","Market Planning","Market Research",3
"Health and Medical","Market Planning","Market Research",8
"Human Resources and Staffing","Market Planning","Market Research",2
Others,"Market Planning","Market Research",1
"Technology and Telecommunications","Market Planning","Market Research",2
"Advertising and Marketing","Market Research","Market Research",10
"Education and Training","Market Research","Market Research",1
"Entertainment and Recreation","Market Research","Market Research",1
"Health and Medical","Market Research","Market Research",1
"Human Resources and Staffing","Market Research","Market Research",6
Manufacturing,"Market Research","Market Research",4
Others,"Market Research","Market Research",1
"Technology and Telecommunications","Market Research","Market Research",3
"Human Resources and Staffing","Market Segmentation","Market Research",1
Manufacturing,"Market Segmentation","Market Research",1
"Advertising and Marketing","Market Share","Market Research",2
"Advertising and Marketing",Marketing,Strategy/Planning/Management,65
"Architecture and Design",Marketing,Strategy/Planning/Management,1
"Automotive and Transportation",Marketing,Strategy/Planning/Management,1
"Business and Information Technology",Marketing,Strategy/Planning/Management,7
"Construction and Real Estate",Marketing,Strategy/Planning/Management,8
"Education and Training",Marketing,Strategy/Planning/Management,6
"Entertainment and Recreation",Marketing,Strategy/Planning/Management,3
"Environmental and Energy",Marketing,Strategy/Planning/Management,5
"Facilities and Maintenance",Marketing,Strategy/Planning/Management,1
"Financial Services",Marketing,Strategy/Planning/Management,2
"Food and Beverage",Marketing,Strategy/Planning/Management,4
"Government and Public Services",Marketing,Strategy/Planning/Management,1
"Health and Medical",Marketing,Strategy/Planning/Management,20
"Human Resources and Staffing",Marketing,Strategy/Planning/Management,40
Manufacturing,Marketing,Strategy/Planning/Management,8
"Non-profit and Social Services",Marketing,Strategy/Planning/Management,3
Others,Marketing,Strategy/Planning/Management,6
"Retail and Wholesale",Marketing,Strategy/Planning/Management,4
"Technology and Telecommunications",Marketing,Strategy/Planning/Management,3
"Travel and Tourism",Marketing,Strategy/Planning/Management,3
"Advertising and Marketing","Marketing Agencies",Other,1
"Health and Medical","Marketing Analytics",Quantitative/Analytics,7
"Human Resources and Staffing","Marketing Analytics",Quantitative/Analytics,6
Manufacturing,"Marketing Analytics",Quantitative/Analytics,3
"Technology and Telecommunications","Marketing Analytics",Quantitative/Analytics,3
"Health and Medical","Marketing Automation","Social Media/Digital",1
"Human Resources and Staffing","Marketing Automation","Social Media/Digital",2
Manufacturing,"Marketing Automation","Social Media/Digital",1
"Health and Medical","Marketing Budget Management",Strategy/Planning/Management,1
"Non-profit and Social Services","Marketing Budget Management",Strategy/Planning/Management,1
"Automotive and Transportation","Marketing Campaign Effectiveness",Strategy/Planning/Management,1
"Advertising and Marketing","Marketing Campaign Management",Strategy/Planning/Management,2
"Human Resources and Staffing","Marketing Campaign Management",Strategy/Planning/Management,6
Manufacturing,"Marketing Campaign Plans",Strategy/Planning/Management,1
"Advertising and Marketing","Marketing Campaigns",Strategy/Planning/Management,14
"Automotive and Transportation","Marketing Campaigns",Strategy/Planning/Management,1
"Business and Information Technology","Marketing Campaigns",Strategy/Planning/Management,1
"Construction and Real Estate","Marketing Campaigns",Strategy/Planning/Management,2
"Entertainment and Recreation","Marketing Campaigns",Strategy/Planning/Management,2
"Facilities and Maintenance","Marketing Campaigns",Strategy/Planning/Management,1
"Food and Beverage","Marketing Campaigns",Strategy/Planning/Management,2
"Health and Medical","Marketing Campaigns",Strategy/Planning/Management,3
"Human Resources and Staffing","Marketing Campaigns",Strategy/Planning/Management,9
Manufacturing,"Marketing Campaigns",Strategy/Planning/Management,2
"Non-profit and Social Services","Marketing Campaigns",Strategy/Planning/Management,1
Others,"Marketing Campaigns",Strategy/Planning/Management,1
"Retail and Wholesale","Marketing Campaigns",Strategy/Planning/Management,2
"Advertising and Marketing","Marketing Communications",Communication,8
"Business and Information Technology","Marketing Communications",Communication,1
"Education and Training","Marketing Communications",Communication,1
"Entertainment and Recreation","Marketing Communications",Communication,1
"Environmental and Energy","Marketing Communications",Communication,5
"Government and Public Services","Marketing Communications",Communication,1
"Health and Medical","Marketing Communications",Communication,2
"Human Resources and Staffing","Marketing Communications",Communication,4
Manufacturing,"Marketing Communications",Communication,1
"Human Resources and Staffing","Marketing Consulting",Strategy/Planning/Management,1
"Advertising and Marketing","Marketing Copy",Content/Writing,1
"Non-profit and Social Services","Marketing Copy",Content/Writing,1
Others,"Marketing Copy",Content/Writing,1
"Advertising and Marketing","Marketing Documents",Content/Writing,1
"Business and Information Technology","Marketing Literature",Strategy/Planning/Management,1
"Advertising and Marketing","Marketing Management",Strategy/Planning/Management,1
"Business and Information Technology","Marketing Management",Strategy/Planning/Management,1
"Health and Medical","Marketing Management",Strategy/Planning/Management,1
"Human Resources and Staffing","Marketing Management",Strategy/Planning/Management,1
Manufacturing,"Marketing Management",Strategy/Planning/Management,1
Others,"Marketing Management",Strategy/Planning/Management,1
"Advertising and Marketing","Marketing Materials",Content/Writing,1
"Construction and Real Estate","Marketing Materials",Content/Writing,2
"Education and Training","Marketing Materials",Content/Writing,2
"Environmental and Energy","Marketing Materials",Content/Writing,5
"Health and Medical","Marketing Materials",Content/Writing,1
"Human Resources and Staffing","Marketing Materials",Content/Writing,2
"Non-profit and Social Services","Marketing Materials",Content/Writing,2
Others,"Marketing Materials",Content/Writing,3
"Technology and Telecommunications","Marketing Materials",Content/Writing,1
"Travel and Tourism","Marketing Materials",Content/Writing,1
Others,"Marketing Metrics",Strategy/Planning/Management,1
Manufacturing,"Marketing Mix Modeling",Quantitative/Analytics,1
"Advertising and Marketing","Marketing Operations",Strategy/Planning/Management,1
"Food and Beverage","Marketing Operations",Strategy/Planning/Management,1
"Health and Medical","Marketing Operations",Strategy/Planning/Management,1
"Technology and Telecommunications","Marketing Operations",Strategy/Planning/Management,1
Manufacturing,"Marketing Partnerships",Strategy/Planning/Management,1
"Human Resources and Staffing","Marketing Presentations",Sales,1
"Human Resources and Staffing","Marketing Programs",Strategy/Planning/Management,1
"Architecture and Design","Marketing Reporting",Quantitative/Analytics,1
Others,"Marketing Research","Market Research",1
"Food and Beverage","Marketing Support",Strategy/Planning/Management,1
"Facilities and Maintenance","Mass Email Marketing",Communication,1
"Retail and Wholesale",Mathematics,Quantitative/Analytics,2
"Travel and Tourism",Mathematics,Quantitative/Analytics,1
"Business and Information Technology","Maturity Assessments",Quantitative/Analytics,1
"Travel and Tourism","Meal Planning",Strategy/Planning/Management,1
"Health and Medical",Medi-Cal,Other,1
"Business and Information Technology","Media Engagement","Social Media/Digital",1
"Travel and Tourism","Media Evaluation","Social Media/Digital",1
"Automotive and Transportation","Media Events","Social Media/Digital",1
"Food and Beverage","Media Management","Social Media/Digital",2
"Health and Medical","Media Management","Social Media/Digital",1
Manufacturing,"Media Management","Social Media/Digital",1
"Advertising and Marketing","Media Marketing","Social Media/Digital",12
"Business and Information Technology","Media Marketing","Social Media/Digital",2
"Construction and Real Estate","Media Marketing","Social Media/Digital",2
"Education and Training","Media Marketing","Social Media/Digital",2
"Entertainment and Recreation","Media Marketing","Social Media/Digital",1
"Food and Beverage","Media Marketing","Social Media/Digital",1
"Health and Medical","Media Marketing","Social Media/Digital",5
"Human Resources and Staffing","Media Marketing","Social Media/Digital",15
Manufacturing,"Media Marketing","Social Media/Digital",2
"Non-profit and Social Services","Media Marketing","Social Media/Digital",1
"Retail and Wholesale","Media Marketing","Social Media/Digital",1
"Automotive and Transportation","Media Monitoring","Social Media/Digital",1
"Education and Training","Media Planning","Social Media/Digital",1
"Human Resources and Staffing","Media Planning","Social Media/Digital",1
"Advertising and Marketing","Media Relations","Social Media/Digital",1
"Automotive and Transportation","Media Relations","Social Media/Digital",1
"Entertainment and Recreation","Media Relations","Social Media/Digital",1
"Government and Public Services","Media Relations","Social Media/Digital",1
"Human Resources and Staffing","Media Relations","Social Media/Digital",2
"Advertising and Marketing","Media Strategy","Social Media/Digital",1
"Travel and Tourism","Media Strategy","Social Media/Digital",1
"Health and Medical",Medicare,Other,1
"Non-profit and Social Services","Membership Development",Technology,1
"Non-profit and Social Services","Membership Sales",Sales,1
"Construction and Real Estate",Memos,Other,1
"Advertising and Marketing","Mental Health",Other,1
"Retail and Wholesale","Merchandise Planning",Strategy/Planning/Management,1
"Advertising and Marketing",Merchandising,Sales,5
"Business and Information Technology",Merchandising,Sales,1
"Human Resources and Staffing",Merchandising,Sales,1
"Retail and Wholesale",Merchandising,Sales,1
"Health and Medical",Messaging,Other,5
Manufacturing,Messaging,Other,1
"Construction and Real Estate","Microsoft Office",Other,1
Manufacturing,"Microsoft Office",Other,1
"Business and Information Technology","Microsoft Outlook",Other,1
"Construction and Real Estate","Microsoft Outlook",Other,1
"Financial Services","Microsoft Outlook",Other,1
"Architecture and Design","Microsoft PowerPoint",Other,1
"Construction and Real Estate","Microsoft PowerPoint",Other,1
"Financial Services","Microsoft PowerPoint",Other,1
Manufacturing,"Microsoft PowerPoint",Other,1
"Technology and Telecommunications",MLRO,Other,1
"Human Resources and Staffing","Mobile Application Development",Technology,1
"Food and Beverage","Mobile Communications",Communication,1
"Human Resources and Staffing","Mobile Marketing","Social Media/Digital",1
"Technology and Telecommunications",Morale,Other,1
"Construction and Real Estate","Motor Vehicle",Other,1
"Construction and Real Estate",MSDS,Other,1
"Health and Medical","Multi-Channel Marketing",Strategy/Planning/Management,1
"Entertainment and Recreation","Multimedia Marketing Campaigns",Strategy/Planning/Management,1
"Advertising and Marketing",Multitasking,Other,3
"Construction and Real Estate",Multitasking,Other,2
"Human Resources and Staffing",Multitasking,Other,2
Manufacturing,Multitasking,Other,1
"Entertainment and Recreation","Music Lover",Other,1
"Advertising and Marketing",Narrative,Content/Writing,1
"Advertising and Marketing",Negotiation,Sales,12
"Construction and Real Estate",Negotiation,Sales,1
"Health and Medical",Negotiation,Sales,3
"Human Resources and Staffing",Negotiation,Sales,3
Manufacturing,Negotiation,Sales,1
"Technology and Telecommunications",Negotiation,Sales,1
"Health and Medical","Network Administration",Technology,1
"Advertising and Marketing",Networking,Communication,1
"Construction and Real Estate",Networking,Communication,1
"Environmental and Energy",Networking,Communication,1
"Human Resources and Staffing",Networking,Communication,1
Others,Networking,Communication,1
"Environmental and Energy","Networking Events",Communication,1
Others,"Networking Events",Communication,1
"Human Resources and Staffing","New Business Development",Strategy/Planning/Management,1
"Advertising and Marketing","New Client Acquisitions",Sales,1
"Advertising and Marketing","New Customer Acquisitions",Sales,2
"Human Resources and Staffing","New Customer Acquisitions",Sales,1
"Construction and Real Estate","New Hire Orientations",Other,1
"Advertising and Marketing","New Leads",Other,2
"Automotive and Transportation",Newsletters,Content/Writing,1
"Construction and Real Estate",Newsletters,Content/Writing,1
"Entertainment and Recreation",Newsletters,Content/Writing,1
"Non-profit and Social Services",Newsletters,Content/Writing,1
"Retail and Wholesale",Newsletters,Content/Writing,1
"Travel and Tourism",Newsletters,Content/Writing,1
"Health and Medical","Nonprofit Organizations",Other,1
Manufacturing,Numeracy,Other,1
"Health and Medical",Nursing,Other,1
"Health and Medical","Office 365",Other,1
"Advertising and Marketing","Office Administration",Strategy/Planning/Management,1
"Construction and Real Estate","Office Administration",Strategy/Planning/Management,1
"Construction and Real Estate","Office Equipment",Other,1
"Financial Services","Office Equipment",Other,1
"Human Resources and Staffing","Office Equipment",Other,1
"Advertising and Marketing","On Site",Other,1
"Business and Information Technology","On-Page Optimization",Technology,1
"Advertising and Marketing",Onboarding,Communication,1
"Construction and Real Estate",Onboarding,Communication,1
"Health and Medical",Onboarding,Communication,1
"Human Resources and Staffing",Onboarding,Communication,1
"Human Resources and Staffing","Online Advertising",Other,1
"Business and Information Technology","Online Data Entry",Quantitative/Analytics,1
"Human Resources and Staffing","Online Data Entry",Quantitative/Analytics,1
"Advertising and Marketing","Online Marketing",Strategy/Planning/Management,2
"Human Resources and Staffing","Online Marketing",Strategy/Planning/Management,2
Manufacturing,"Online Marketing",Strategy/Planning/Management,1
"Health and Medical","Online Reputation Management",Strategy/Planning/Management,1
"Construction and Real Estate","Online Research","Market Research",1
"Travel and Tourism","Open Platform Communication (OPC)",Communication,1
"Retail and Wholesale","Open to Buy Management",Strategy/Planning/Management,1
"Advertising and Marketing","Opening New Accounts",Other,1
"Health and Medical","Operations Processes",Other,1
"Advertising and Marketing",Optimization,Technology,4
"Business and Information Technology",Optimization,Technology,2
"Construction and Real Estate",Optimization,Technology,1
"Education and Training",Optimization,Technology,1
"Entertainment and Recreation",Optimization,Technology,1
"Environmental and Energy",Optimization,Technology,5
"Financial Services",Optimization,Technology,1
"Food and Beverage",Optimization,Technology,1
"Health and Medical",Optimization,Technology,1
"Human Resources and Staffing",Optimization,Technology,5
Manufacturing,Optimization,Technology,1
"Business and Information Technology","Optimization Techniques",Quantitative/Analytics,1
"Advertising and Marketing","Oral Communication",Communication,4
"Business and Information Technology","Oral Communication",Communication,2
"Construction and Real Estate","Oral Communication",Communication,2
"Education and Training","Oral Communication",Communication,1
"Health and Medical","Oral Communication",Communication,1
"Human Resources and Staffing","Oral Communication",Communication,8
Others,"Oral Communication",Communication,2
"Retail and Wholesale","Oral Communication",Communication,1
"Travel and Tourism","Oral Communication",Communication,2
"Advertising and Marketing","Order Processing",Other,1
"Financial Services","Organic Search",Other,1
"Advertising and Marketing","Organization Skills",Strategy/Planning/Management,18
"Construction and Real Estate","Organization Skills",Strategy/Planning/Management,4
"Education and Training","Organization Skills",Strategy/Planning/Management,2
"Financial Services","Organization Skills",Strategy/Planning/Management,1
"Health and Medical","Organization Skills",Strategy/Planning/Management,6
"Human Resources and Staffing","Organization Skills",Strategy/Planning/Management,13
Others,"Organization Skills",Strategy/Planning/Management,2
"Retail and Wholesale","Organization Skills",Strategy/Planning/Management,2
"Travel and Tourism","Organization Skills",Strategy/Planning/Management,2
"Business and Information Technology","Organizing Meetings",Other,1
"Advertising and Marketing","Outdoor Advertising",Sales,3
"Advertising and Marketing","Outreach Programs",Other,1
"Human Resources and Staffing","P&L Management",Strategy/Planning/Management,1
"Education and Training","Paid Advertising",Other,1
"Human Resources and Staffing","Paid Media Advertising","Social Media/Digital",1
Manufacturing,"Paid Media Advertising","Social Media/Digital",1
"Non-profit and Social Services","Paid Media Advertising","Social Media/Digital",1
"Construction and Real Estate","Paid Social Media","Social Media/Digital",1
"Human Resources and Staffing","Paid Social Media","Social Media/Digital",1
"Technology and Telecommunications","Panel Discussions",Other,1
"Financial Services","Partner Recruitment",Other,1
"Advertising and Marketing","Partner Relationship Management",Sales,1
"Advertising and Marketing","Passionate about Work",Other,2
Others,"Pay Per Click (PPC)",Other,1
"Construction and Real Estate","Payroll Administration",Other,1
"Financial Services",People-Oriented,Other,1
"Human Resources and Staffing",People-Oriented,Other,3
"Human Resources and Staffing","Performance Analysis",Quantitative/Analytics,1
"Retail and Wholesale","Performance Reporting",Quantitative/Analytics,1
"Advertising and Marketing","Performance Reviews",Other,1
Manufacturing,"Performance Reviews",Other,1
"Advertising and Marketing",Perseverant,Other,1
"Retail and Wholesale",Persistence,Other,1
"Travel and Tourism","Personal Assistance",Other,1
"Retail and Wholesale","Personal Responsibility",Other,2
"Advertising and Marketing","Phone Etiquette",Communication,3
"Construction and Real Estate","Phone Etiquette",Communication,2
"Financial Services","Phone Etiquette",Communication,1
"Health and Medical","Phone Etiquette",Communication,1
"Human Resources and Staffing","Phone Etiquette",Communication,2
"Technology and Telecommunications","Phone Etiquette",Communication,1
"Travel and Tourism","Phone Etiquette",Communication,1
"Advertising and Marketing","Photo Shoots",Other,1
Manufacturing,"Photo Shoots",Other,1
"Construction and Real Estate",Photography,"Graphic Design/Visual",1
"Education and Training",Photography,"Graphic Design/Visual",1
"Advertising and Marketing","Pivot Tables",Quantitative/Analytics,1
"Financial Services","Pivot Tables",Quantitative/Analytics,1
"Health and Medical","Pivot Tables",Quantitative/Analytics,1
"Health and Medical","Platform Management",Strategy/Planning/Management,1
"Advertising and Marketing","Positioning (Marketing)",Strategy/Planning/Management,1
"Retail and Wholesale",Pre-production,Other,1
"Advertising and Marketing","Presentation Skills",Communication,6
"Business and Information Technology","Presentation Skills",Communication,1
"Education and Training","Presentation Skills",Communication,1
"Environmental and Energy","Presentation Skills",Communication,1
"Health and Medical","Presentation Skills",Communication,1
"Advertising and Marketing",Presentations,Communication,19
"Automotive and Transportation",Presentations,Communication,2
"Business and Information Technology",Presentations,Communication,2
"Construction and Real Estate",Presentations,Communication,3
"Education and Training",Presentations,Communication,3
"Environmental and Energy",Presentations,Communication,1
"Food and Beverage",Presentations,Communication,1
"Health and Medical",Presentations,Communication,3
"Human Resources and Staffing",Presentations,Communication,10
Manufacturing,Presentations,Communication,2
Others,Presentations,Communication,1
"Retail and Wholesale",Presentations,Communication,2
"Travel and Tourism",Presentations,Communication,1
"Advertising and Marketing","Press Releases",Other,7
"Construction and Real Estate","Press Releases",Other,1
"Entertainment and Recreation","Press Releases",Other,2
"Financial Services","Press Releases",Other,1
"Government and Public Services","Press Releases",Other,1
"Health and Medical","Press Releases",Other,1
"Human Resources and Staffing","Press Releases",Other,2
"Non-profit and Social Services","Press Releases",Other,1
"Retail and Wholesale","Press Releases",Other,1
"Human Resources and Staffing","Print Collateral",Other,1
"Human Resources and Staffing","Print Marketing",Content/Writing,1
"Advertising and Marketing","Problem Solving",Strategy/Planning/Management,20
"Construction and Real Estate","Problem Solving",Strategy/Planning/Management,4
"Education and Training","Problem Solving",Strategy/Planning/Management,2
"Financial Services","Problem Solving",Strategy/Planning/Management,2
"Health and Medical","Problem Solving",Strategy/Planning/Management,1
"Human Resources and Staffing","Problem Solving",Strategy/Planning/Management,11
Manufacturing,"Problem Solving",Strategy/Planning/Management,1
Others,"Problem Solving",Strategy/Planning/Management,1
"Technology and Telecommunications","Problem Solving",Strategy/Planning/Management,3
"Travel and Tourism","Problem Solving",Strategy/Planning/Management,2
